timestamp,coin,price_usd
2026-09-05T05:59:06.234651+00:00,bitcoin,79584
2026-09-05T05:59:06.234651+00:00,ethereum,2451.48
2026-09-05T05:59:21.445941+00:00,bitcoin,79584
2026-09-05T05:59:21.445941+00:00,ethereum,2451.48
2026-09-05T05:59:36.928113+00:00,bitcoin,79598
2026-09-05T05:59:36.928113+00:00,ethereum,2451.68
2026-09-05T05:59:54.855250+00:00,bitcoin,79598
2026-09-05T05:59:54.855250+00:00,ethereum,2451.68
2026-09-05T06:00:24.714964+00:00,bitcoin,79598
2026-09-05T06:00:24.714964+00:00,ethereum,2451.68
2026-09-05T06:00:40.345387+00:00,bitcoin,79587
2026-09-05T06:00:40.345387+00:00,ethereum,2450.85
2026-09-05T06:00:55.912392+00:00,bitcoin,79587
2026-09-05T06:00:55.912392+00:00,ethereum,2450.85
2026-09-05T06:01:11.107985+00:00,bitcoin,79587
2026-09-05T06:01:11.107985+00:00,ethereum,2450.85
2026-09-05T06:01:27.007529+00:00,bitcoin,79587
2026-09-05T06:01:27.007529+00:00,ethereum,2450.85
2026-09-05T06:01:42.749021+00:00,bitcoin,79587
2026-09-05T06:01:42.749021+00:00,ethereum,2451.24
2026-09-05T06:01:58.211346+00:00,bitcoin,79587
2026-09-05T06:01:58.211346+00:00,ethereum,2451.24
2026-09-05T06:02:14.460937+00:00,bitcoin,79587
2026-09-05T06:02:14.460937+00:00,ethereum,2451.24
2026-09-05T06:02:29.668494+00:00,bitcoin,79587
2026-09-05T06:02:29.668494+00:00,ethereum,2451.24
2026-09-05T06:02:45.364938+00:00,bitcoin,79585
2026-09-05T06:02:45.364938+00:00,ethereum,2451.17
2026-09-05T06:03:00.926693+00:00,bitcoin,79585
2026-09-05T06:03:00.926693+00:00,ethereum,2451.17
2026-09-05T06:03:16.585612+00:00,bitcoin,79585
2026-09-05T06:03:16.585612+00:00,ethereum,2451.17
2026-09-05T06:03:32.061032+00:00,bitcoin,79585
2026-09-05T06:03:32.061032+00:00,ethereum,2451.17
2026-09-05T06:03:47.771144+00:00,bitcoin,79596
2026-09-05T06:03:47.771144+00:00,ethereum,2451.53
2026-09-05T06:04:03.464806+00:00,bitcoin,79596
2026-09-05T06:04:03.464806+00:00,ethereum,2451.53
2026-09-05T06:04:18.907982+00:00,bitcoin,79596
2026-09-05T06:04:18.907982+00:00,ethereum,2451.53
2026-09-05T06:04:35.329143+00:00,bitcoin,79600
2026-09-05T06:04:35.329143+00:00,ethereum,2451.65
2026-09-05T06:04:51.011895+00:00,bitcoin,79600
2026-09-05T06:04:51.011895+00:00,ethereum,2451.65
2026-09-05T06:05:18.765923+00:00,bitcoin,79600
2026-09-05T06:05:18.765923+00:00,ethereum,2451.65
2026-09-05T06:05:46.444032+00:00,bitcoin,79611
2026-09-05T06:05:46.444032+00:00,ethereum,2451.75
2026-09-05T06:06:03.103626+00:00,bitcoin,79611
2026-09-05T06:06:03.103626+00:00,ethereum,2451.75
2026-09-05T06:06:19.734715+00:00,bitcoin,79611
2026-09-05T06:06:19.734715+00:00,ethereum,2451.75
2026-09-05T06:06:35.179586+00:00,bitcoin,79612
2026-09-05T06:06:35.179586+00:00,ethereum,2451.74
2026-09-05T06:06:50.663916+00:00,bitcoin,79612
2026-09-05T06:06:50.663916+00:00,ethereum,2451.74
2026-09-05T06:07:05.896787+00:00,bitcoin,79612
2026-09-05T06:07:05.896787+00:00,ethereum,2451.74
2026-09-05T06:07:21.329152+00:00,bitcoin,79612
2026-09-05T06:07:21.329152+00:00,ethereum,2451.74
2026-09-05T06:07:36.825119+00:00,bitcoin,79622
2026-09-05T06:07:36.825119+00:00,ethereum,2451.69
2026-09-05T06:08:04.342225+00:00,bitcoin,79622
2026-09-05T06:08:04.342225+00:00,ethereum,2451.69
2026-09-05T06:08:19.556799+00:00,bitcoin,79622
2026-09-05T06:08:19.556799+00:00,ethereum,2451.69
2026-09-05T06:08:35.076277+00:00,bitcoin,79610
2026-09-05T06:08:35.076277+00:00,ethereum,2451.6
2026-09-05T06:08:50.502768+00:00,bitcoin,79610
2026-09-05T06:08:50.502768+00:00,ethereum,2451.6
2026-09-05T06:09:06.055530+00:00,bitcoin,79610
2026-09-05T06:09:06.055530+00:00,ethereum,2451.6
2026-09-05T06:09:21.300083+00:00,bitcoin,79610
2026-09-05T06:09:21.300083+00:00,ethereum,2451.6
2026-09-05T06:09:36.765643+00:00,bitcoin,79591
2026-09-05T06:09:36.765643+00:00,ethereum,2451.62
2026-09-05T06:09:52.289985+00:00,bitcoin,79591
2026-09-05T06:09:52.289985+00:00,ethereum,2451.62
2026-09-05T06:10:07.918459+00:00,bitcoin,79591
2026-09-05T06:10:07.918459+00:00,ethereum,2451.62
2026-09-05T06:10:24.262450+00:00,bitcoin,79591
2026-09-05T06:10:24.262450+00:00,ethereum,2451.62
2026-09-05T06:10:39.705576+00:00,bitcoin,79590
2026-09-05T06:10:39.705576+00:00,ethereum,2451.38
2026-09-05T06:10:55.215723+00:00,bitcoin,79590
2026-09-05T06:10:55.215723+00:00,ethereum,2451.38
2026-09-05T06:11:22.701993+00:00,bitcoin,79590
2026-09-05T06:11:22.701993+00:00,ethereum,2451.38
2026-09-05T06:11:38.271061+00:00,bitcoin,79591
2026-09-05T06:11:38.271061+00:00,ethereum,2451.26
2026-09-05T06:11:53.949997+00:00,bitcoin,79591
2026-09-05T06:11:53.949997+00:00,ethereum,2451.26
2026-09-05T06:12:09.691915+00:00,bitcoin,79591
2026-09-05T06:12:09.691915+00:00,ethereum,2451.26
2026-09-05T06:12:25.115630+00:00,bitcoin,79591
2026-09-05T06:12:25.115630+00:00,ethereum,2451.26
2026-09-05T06:12:40.563554+00:00,bitcoin,79634
2026-09-05T06:12:40.563554+00:00,ethereum,2452.39
2026-09-05T06:12:55.830019+00:00,bitcoin,79634
2026-09-05T06:12:55.830019+00:00,ethereum,2452.39
2026-09-05T06:13:11.314003+00:00,bitcoin,79634
2026-09-05T06:13:11.314003+00:00,ethereum,2452.39
2026-09-05T06:13:26.758628+00:00,bitcoin,79634
2026-09-05T06:13:26.758628+00:00,ethereum,2452.39
2026-09-05T06:13:42.237960+00:00,bitcoin,79628
2026-09-05T06:13:42.237960+00:00,ethereum,2452.19
2026-09-05T06:13:57.832337+00:00,bitcoin,79628
2026-09-05T06:13:57.832337+00:00,ethereum,2452.19
2026-09-05T06:14:13.489533+00:00,bitcoin,79628
2026-09-05T06:14:13.489533+00:00,ethereum,2452.19
2026-09-05T06:14:28.966020+00:00,bitcoin,79628
2026-09-05T06:14:28.966020+00:00,ethereum,2452.19
2026-09-05T06:14:44.677081+00:00,bitcoin,79641
2026-09-05T06:14:44.677081+00:00,ethereum,2452.36
2026-09-05T06:15:00.148173+00:00,bitcoin,79641
2026-09-05T06:15:00.148173+00:00,ethereum,2452.36
2026-09-05T06:15:15.386910+00:00,bitcoin,79641
2026-09-05T06:15:15.386910+00:00,ethereum,2452.36
2026-09-05T06:15:30.848169+00:00,bitcoin,79641
2026-09-05T06:15:30.848169+00:00,ethereum,2452.36
2026-09-05T06:15:46.595675+00:00,bitcoin,79640
2026-09-05T06:15:46.595675+00:00,ethereum,2452.12
2026-09-05T06:16:02.056627+00:00,bitcoin,79640
2026-09-05T06:16:02.056627+00:00,ethereum,2452.12
2026-09-05T06:16:17.594547+00:00,bitcoin,79640
2026-09-05T06:16:17.594547+00:00,ethereum,2452.12
2026-09-05T06:16:45.146993+00:00,bitcoin,79634
2026-09-05T06:16:45.146993+00:00,ethereum,2452.04
2026-09-05T06:17:00.613660+00:00,bitcoin,79634
2026-09-05T06:17:00.613660+00:00,ethereum,2452.04
2026-09-05T06:17:15.793740+00:00,bitcoin,79634
2026-09-05T06:17:15.793740+00:00,ethereum,2452.04
2026-09-05T06:17:30.975738+00:00,bitcoin,79634
2026-09-05T06:17:30.975738+00:00,ethereum,2452.04
2026-09-05T06:17:46.447424+00:00,bitcoin,79624
2026-09-05T06:17:46.447424+00:00,ethereum,2451.5
2026-09-05T06:18:01.742940+00:00,bitcoin,79624
2026-09-05T06:18:01.742940+00:00,ethereum,2451.5
2026-09-05T06:18:17.428993+00:00,bitcoin,79624
2026-09-05T06:18:17.428993+00:00,ethereum,2451.5
2026-09-05T06:18:32.895904+00:00,bitcoin,79624
2026-09-05T06:18:32.895904+00:00,ethereum,2451.5
2026-09-05T06:18:48.347947+00:00,bitcoin,79624
2026-09-05T06:18:48.347947+00:00,ethereum,2451.63
2026-09-05T06:19:03.801142+00:00,bitcoin,79624
2026-09-05T06:19:03.801142+00:00,ethereum,2451.63
2026-09-05T06:19:31.585043+00:00,bitcoin,79624
2026-09-05T06:19:31.585043+00:00,ethereum,2451.63
2026-09-05T06:19:47.122474+00:00,bitcoin,79622
2026-09-05T06:19:47.122474+00:00,ethereum,2451.91
2026-09-05T06:20:02.315088+00:00,bitcoin,79622
2026-09-05T06:20:02.315088+00:00,ethereum,2451.91
2026-09-05T06:20:17.882054+00:00,bitcoin,79622
2026-09-05T06:20:17.882054+00:00,ethereum,2451.91
2026-09-05T06:20:33.079042+00:00,bitcoin,79622
2026-09-05T06:20:33.079042+00:00,ethereum,2451.91
2026-09-05T06:20:48.627669+00:00,bitcoin,79629
2026-09-05T06:20:48.627669+00:00,ethereum,2451.74
2026-09-05T06:21:04.083491+00:00,bitcoin,79629
2026-09-05T06:21:04.083491+00:00,ethereum,2451.74
2026-09-05T06:21:19.469994+00:00,bitcoin,79629
2026-09-05T06:21:19.469994+00:00,ethereum,2451.74
2026-09-05T06:21:35.341350+00:00,bitcoin,79629
2026-09-05T06:21:35.341350+00:00,ethereum,2451.74
